product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category,from_to_date
K-FAVOURITES Salami-Sticks,https://kaufland.media.schwarz/is/image/schwarz/00105862?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00105862.html,je 100-g-Packg. (1 kg = 16.90) / (1 kg = 14.90)**,"
			-22%
					",1.69 ,"Classic, Pikant oder Walnuss,orig. franz. luftgetrockneteMini-Salamis mit Edelschimmel","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
TARCZYNSKI Original Polnische Krakauer,https://kaufland.media.schwarz/is/image/schwarz/01204444?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01204444.html,320-g-Packg. (1 kg = 9.35),"
			-21%
					",2.99 ,gebrühte und geräucherte Wurstspezialität,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
BÄUERLICHE ERZEUGERGEMEINSCHAFT SCHWÄBISCH HALL Echt Hällische Wurstspezialität,https://kaufland.media.schwarz/is/image/schwarz/00898010?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00898010.html,je 200-g-Dose (1 kg = 13.95),"
			KNÜLLER
					",2.79 ,"Lyoner, Bratwurst, Schinkenwurstoder Hausmacher Leberwurst","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
MEICA Trueman's,https://kaufland.media.schwarz/is/image/schwarz/01416189?JGstbGVnYWN5LW9uc2l0ZS0zJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01416189.html,540-g-Glas Abtropfgewicht 350 g (1 kg = 7.98),"
			-30%
					",2.79 ,"Hot-Dog-Würstchen,American Style, 7 Stück","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
Kabeljaufilet,https://kaufland.media.schwarz/is/image/schwarz/00863787FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00863787.html,100 g ,"
			KNÜLLER
					",2.49 ,ohne Haut,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
29.06. - 05.07.
"
Zanderfilet,https://kaufland.media.schwarz/is/image/schwarz/04500015FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=04500015.html,100 g ,"
			-20%
					",2.29 ,"mit Haut, aufgetaut","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
29.06. - 05.07.
"
"> Mageres, festes Fleisch mit mildem, leicht süßlichem Geschmack > Ideal für Meeresfrüchte-Speisen oder auch als Verfeinerung einer PaellaTintenfisch",https://kaufland.media.schwarz/is/image/schwarz/01249533FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01249533.html,je 100 g ,"
			-25%
					",2.59 ,"Pulpo vom Oktopus im Flower Style,Calamaris mit Kopf oder Sepia ohne Haut, aufgetaut","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
29.06. - 05.07.
"
Rotbarsch geräuchert,https://kaufland.media.schwarz/is/image/schwarz/01050955FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01050955.html,100 g ,"
			-20%
					",1.99 ,"aus dem Nordostatlantik, heißgeräuchert,mit festem Fleisch","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
29.06. - 05.07.
"
Heringsspezialität,https://kaufland.media.schwarz/is/image/schwarz/00907025FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00907025.html,je 100 g ,"
			KNÜLLER
					",1.19 ,"Brathering, Bismarckhering, Rollmopsoder Bratrollmops","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
29.06. - 05.07.
"
"Dtsch. Cherryrispentomaten, rot",https://kaufland.media.schwarz/is/image/schwarz/01481760FRa?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01481760.html,200-g-Schale (1 kg = 8.95),,1.79 *,"Sorte laut Auszeichnung,Kl. I","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									29.06. - 05.07.
								
"
"Dtsch. Kopfsalat, Lollo Mix oder Eichblattsalat, lose",https://kaufland.media.schwarz/is/image/schwarz/00398677FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00398677.html,je Stück ,,0.69 *,Kl. I,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									29.06. - 05.07.
								
"
Dtsch. Radieschen,https://kaufland.media.schwarz/is/image/schwarz/00377382FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00377382.html,Bund ,,0.59 *,Kl. I,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									29.06. - 05.07.
								
"
Dtsch. Speisefrühkartoffeln »Pellissimo«,https://kaufland.media.schwarz/is/image/schwarz/01290682a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01290682.html,je 2-kg-Sack (1 kg = 1.50),,2.99 *,"vorwiegend festkochend oder festkochend,Sorte laut Auszeichnung,Qualität I","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									29.06. - 05.07.
								
"
Dtsch. Stachelbeeren oder Johannisbeeren,https://kaufland.media.schwarz/is/image/schwarz/00370601?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00370601.html,je 500-g-Packg. (1 kg = 5.98),,2.99 *,Kl. I,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									29.06. - 05.07.
								
"
"Ital. Honeymoonmelone, lose",https://kaufland.media.schwarz/is/image/schwarz/01187586FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01187586.html,Stück ,,2.99 *,Kl. I,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									29.06. - 05.07.
								
"
