product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category
Aperol Spritz,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/7700015/39593918-9_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=7700015,,"10,5% Vol. , je 3 x 0,2-l-Fl.-Pckg , (1 l = 11.65)",Aktion,"6,99 €","10,5% Vol. , je 3 x 0,2-l-Fl.-Pckg , (1 l = 11.65)",Im Weiher 14,Rewe,Wein & Spirituosen
REWE Feine Welt Limoncello,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/8679013/35315684-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=8679013,,"28% Vol. , je 0,7-l-Fl , (1 l = 9.99)",Aktion,"6,99 €","28% Vol. , je 0,7-l-Fl , (1 l = 9.99)",Im Weiher 14,Rewe,Wein & Spirituosen
Southern Comfort Whiskey Liqueur,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/4859383/3039040-42_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=4859383,,"35% Vol. , je 0,7-l-Fl , (1 l = 14.99)",Aktion,"10,49 €","35% Vol. , je 0,7-l-Fl , (1 l = 14.99)",Im Weiher 14,Rewe,Wein & Spirituosen
Steitz & Beck Grauburgunder QbA oder Silvaner/Weißburgunder QW,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/1058440/9952970-35_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=1058440,,"trocken , je 0,75-l-Fl , (1 l = 5.32)",Aktion,"3,99 €","trocken , je 0,75-l-Fl , (1 l = 5.32)",Im Weiher 14,Rewe,Wein & Spirituosen
La Cheteau Crémant de Loire Brut,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/0156894/2500420-27_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=156894,,"je 0,75-l-Fl , (1 l = 7.32)",Aktion,"5,49 €","je 0,75-l-Fl , (1 l = 7.32)",Im Weiher 14,Rewe,Wein & Spirituosen
Licor 43 Cuarenta y Tres,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/9602054/3240580-25_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=9602054,,"31% Vol. , je 0,7-l-Fl , (1 l = 18.56)",Aktion,"12,99 €","31% Vol. , je 0,7-l-Fl , (1 l = 18.56)",Im Weiher 14,Rewe,Wein & Spirituosen
Bacardi Carta Blanca Superior,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/0150614/2231280-70_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=150614,,"37,5% Vol. oder Razz 32% Vol. , je 0,7-l-Fl , (1 l = 15.70)",Aktion,"10,99 €","37,5% Vol. oder Razz 32% Vol. , je 0,7-l-Fl , (1 l = 15.70)",Im Weiher 14,Rewe,Wein & Spirituosen
Pitú Cachaca,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/8324771/29499469-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=8324771,,"38% Vol. , je 0,7-l-Fl , (1 l = 14.27)",Aktion,"9,99 €","38% Vol. , je 0,7-l-Fl , (1 l = 14.27)",Im Weiher 14,Rewe,Wein & Spirituosen
Mangaroca Batida de Coco,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/0540331/966160-18_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=540331,,"16% Vol. , je 0,7-l-Fl , (1 l = 12.84)",Aktion,"8,99 €","16% Vol. , je 0,7-l-Fl , (1 l = 12.84)",Im Weiher 14,Rewe,Wein & Spirituosen
Bombay Sapphire London Dry Gin,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/0581690/3295840-23_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=581690,,"40% Vol. oder Citron Pressé 37,5 Vol. , je 0,7-l-Fl , (1 l = 24.27)",Aktion,"16,99 €","40% Vol. oder Citron Pressé 37,5 Vol. , je 0,7-l-Fl , (1 l = 24.27)",Im Weiher 14,Rewe,Wein & Spirituosen
